sample,id,text,reply_to,Target_chi,Target_categoria,Contenuto/tema,offensività,hate speech,tipo_risposta,RISPOSTA
Camp300HS,"1,21848767271448E+018",@Gazzetta_it Quanto rosica sto giornalistica del cazzo paperone sono quelli che sono a Torino 🦓,"""Pronti 7,5 milioni e bonus: per #Eriksen ingaggio da paperone #Inter #SerieA #mercato https://t.co/zmMB733yKe #serieA""",singolo,giornalismo,insulto generico,1,0,CORR giorn squadra off,"È possibile che alcuni giornali/giornalisti siano più favorevoli verso una squadra rispetto a un'altra, ma si può esprimere il proprio dissenso senza offendere."
Camp100casuali,"1,21429465482656E+018","@SkySport FATEMI CAPIRE, MA QUANDO GIOCA L’INTER O C’È IL COMMENTO DEGLI RUBENTINI FATTO A CAZZO O LA REGIA CHE FA CACARE????",,organizzazione,giornalismo,insulto generico,1,0,CORR giorn squadra off,"È possibile che alcuni giornali/giornalisti siano più favorevoli verso una squadra rispetto a un'altra, ma si può esprimere il proprio dissenso senza offendere."
Camp300HS,"1,21848912611638E+018","@Gazzetta_it la vera farsa e' che voi sosteniate una squadra pluricondannata che doveva essere radiata, merde.","""#Calciomercato, si \u00e8 conclusa l'operazione #Politano-#Spinazzola: una farsa che \u00e8 specchio del momento difficile de\u2026 https://t.co/nquSEI75gk""",gruppo,non identificabile,insulto generico,1,0,CORR giorn squadra off,"È possibile che alcuni giornali/giornalisti siano più favorevoli verso una squadra rispetto a un'altra, ma si può esprimere il proprio dissenso senza offendere."
Camp300HS,"1,20585490942752E+018","""@Inter @CorSport ci siamo rotti le palle di questo terrorismo mediatico a tinte bianconere. Siete vergognosi voi e chi vi paga""","""\ud83d\udea8 | COMUNICATO\n\nOggi non si terr\u00e0 la conferenza stampa \ud83d\udc49 https://t.co/9ZPpGd8cR6\n\n#FCIM""",gruppo,non identificabile,insulto generico,1,0,CORR giorn squadra off,"È possibile che alcuni giornali/giornalisti siano più favorevoli verso una squadra rispetto a un'altra, ma si può esprimere il proprio dissenso senza offendere."
Camp300HS,"1,21743747181597E+018",@Gazzetta_it Siete i leccaculo della juve,"""Ci sono anche #Ronaldo e #DeLigt nella squadra dell'anno scelta dai tifosi https://t.co/oCDNZNeplP #serieA #juventus""",organizzazione,giornalismo,insulto generico,1,0,CORR giorn squadra off,"È possibile che alcuni giornali/giornalisti siano più favorevoli verso una squadra rispetto a un'altra, ma si può esprimere il proprio dissenso senza offendere."
Camp300HS,"1,22360272239555E+018","""@Gazzetta_it O rompete i coglioni al Milan o leccate il culo a Cristiana. Col cazzo che apro il link. Servi""","""Milan, l\u2019anomalia del fondo-azionista e i 345 milioni spesi a vuoto da Elliott. Conti ancora sballati, rilancio lon\u2026 https://t.co/VskFk6TFO7""",organizzazione,giornalismo,insulto generico,1,0,CORR giorn squadra off,"È possibile che alcuni giornali/giornalisti siano più favorevoli verso una squadra rispetto a un'altra, ma si può esprimere il proprio dissenso senza offendere."
Camp300HS,"1,1794367606627E+018",@Gazzetta_it Siete i lecca culo di agnelli e della #rubentus!!!!,"""#Milan, chi pu\u00f2 riaccendere la luce? #Giampaolo conta su #Suso e #Calha https://t.co/7FD9sQskVd #serieA #milan""",organizzazione,giornalismo,insulto generico,1,0,CORR giorn squadra off,"È possibile che alcuni giornali/giornalisti siano più favorevoli verso una squadra rispetto a un'altra, ma si può esprimere il proprio dissenso senza offendere."
Camp300HS,"1,19392307350387E+018","@Gazzetta_it ...voi invece i soliti #leccaculo (che voi sappiate, oggi è andato normalmente al cesso? Chiedo per un #amico)","""#Ronaldo supereroe! Da oggi CR7 diventa anche un #fumetto #StrikerForce7 https://t.co/CYHykBSK4O #serieA #juventus""",organizzazione,giornalismo,insulto generico,1,0,CORR giorn squadra off,"È possibile che alcuni giornali/giornalisti siano più favorevoli verso una squadra rispetto a un'altra, ma si può esprimere il proprio dissenso senza offendere."
Camp300casuali,"1,21168809482458E+018","""@SkySport Ooooooooo e bastaaaaaaa!!!È tutt o juorn che mi escono articoli su Cristiano Ronaldo!!!!C AVIT RUTT O CAAAAAAAAAZZZZZ!!!""","""\ud83c\udd95 Non solo codino, #CristianoRonaldo\n\ud83d\udc40 Tutti i look del passato\n\ud83d\udcf8 Le foto\n#SkySport \nhttps://t.co/yzJNbIF7uD""",organizzazione,giornalismo,insulto generico,1,0,CORR giorn squadra off,"È possibile che alcuni giornali/giornalisti siano più favorevoli verso una squadra rispetto a un'altra, ma si può esprimere il proprio dissenso senza offendere."
Camp100casuali,"1,22933666228029E+018",@SkySport I lacchè di Ronaldo....avanti così sky di merda,,organizzazione,giornalismo,insulto generico,1,0,CORR giorn squadra off,"È possibile che alcuni giornali/giornalisti siano più favorevoli verso una squadra rispetto a un'altra, ma si può esprimere il proprio dissenso senza offendere."
Camp100hs,"1,21432049553501E+018",@SkySport Sono sempre più tentato di disdire l'abbonamento a Sky.  La sudditanza nei confronti dei ladri di vinovo è veramente imbarazzante.,,organizzazione,giornalismo,insulto generico,1,0,CORR giorn squadra off,"È possibile che alcuni giornali/giornalisti siano più favorevoli verso una squadra rispetto a un'altra, ma si può esprimere il proprio dissenso senza offendere."
Camp100hs,"1,22861734603991E+018",@Gazzetta_it Servi e zerbini dei gobbi ma non vi fate schifo da soli ma la dignità dove l’avete lasciata,,organizzazione,giornalismo,insulto generico,1,0,CORR giorn squadra off,"È possibile che alcuni giornali/giornalisti siano più favorevoli verso una squadra rispetto a un'altra, ma si può esprimere il proprio dissenso senza offendere."
Camp300HS,"1,19058604407853E+018","@Gazzetta_it Con la @Mafiat ci gioca... E voi servi, gli le care le palle pure quando piscia... 🤮","""La mamma di #CR7: \""Mafia nel calcio: se non fosse stato portoghese sai quanti Palloni d'Oro in pi\u00f9...\""\u2026 https://t.co/8kqTtLxwdb""",organizzazione,giornalismo,insulto generico,2,0,CORR giorn squadra off,"È possibile che alcuni giornali/giornalisti siano più favorevoli verso una squadra rispetto a un'altra, ma si può esprimere il proprio dissenso senza offendere."
Camp300casuali,"1,22916758598554E+018","@Gazzetta_it state a rosica è? invece de scrive de batosta a roma , state a pensa a ste cazzate .... a mbianconi","""Binotto: \u201cVettel e Leclerc la coppia migliore. Ma fanno un po\u2019 tribolare...\u201d https://t.co/rEurTUGGZ5 #motori #formula1""",organizzazione,giornalismo,insulto generico,1,0,CORR giorn squadra off,"È possibile che alcuni giornali/giornalisti siano più favorevoli verso una squadra rispetto a un'altra, ma si può esprimere il proprio dissenso senza offendere."
Camp300HS,"1,18965038877498E+018","@Gazzetta_it Genova in 10 😂😂😂😂rigore nettissimo negato al Napoli e Voi falsi giornalisti complice del marcio,","""Furia Napoli per il contatto #Kjaer - #Llorente: ma \u00e8 giusto non dare rigore, ecco perch\u00e9 #NapoliAtalanta\u2026 https://t.co/8avo97UXi9""",organizzazione,giornalismo,insulto generico,1,0,CORR giorn squadra off,"È possibile che alcuni giornali/giornalisti siano più favorevoli verso una squadra rispetto a un'altra, ma si può esprimere il proprio dissenso senza offendere."
Camp300HS,"1,2146034753567E+018",@Gazzetta_it @juventusfc Neanche un articolo sulla capolista non servite a un cazzo venduti sempre a lodare sto cesso di Ronaldo!!🖕,"""JUVENTUS #Triplette d'autore: da #Anastasi a #DelPiero, cos\u00ec la Signora si \u00e8 moltiplicata per 3 @juventusfc\u2026 https://t.co/WRfgl9QEEl""",organizzazione,giornalismo,insulto generico,1,0,CORR giorn squadra off,"È possibile che alcuni giornali/giornalisti siano più favorevoli verso una squadra rispetto a un'altra, ma si può esprimere il proprio dissenso senza offendere."
Camp300HS,"1,23161595693967E+018","@SkySport Ladri del cazzo, quanto è caduta in basso la serie A","""Genoa-Lazio, Inzaghi: \""Che brave le seconde linee. Ora restiamo a contatto con la Juve\""\nhttps://t.co/aQamnGKZM8""",organizzazione,squadra,insulto generico,1,0,CORR imparzialità,"Anche se possiamo avere l'impressione che non vi sia imparzialità e correttezza, si può esprimere il proprio disaccordo senza offese."
Camp300HS,"1,18979288335799E+018",@SkySport Sarri pagliaccio e sky complice di qst sistema corrotto,"""\ud83c\uddee\ud83c\uddf9 Serie \ud83c\udd70 - 10^ giornata\n\ud83c\udfdf #JuveGenoa 2-1\n\ud83d\udde3 Le parole di #Sarri\n#SkySerieA #SkySport https://t.co/xlnjnSiAVI""",singolo,allenatori,insulto generico,1,0,CORR imparzialità,"Anche se possiamo avere l'impressione che non vi sia imparzialità e correttezza, si può esprimere il proprio disaccordo senza offese."
Camp300casuali,"1,22662807844676E+018","@SkySport Campionato più falso al mondo, ridicoli quelli di Sky e Inzaghi sei un pezzo di merda","""\ud83c\uddee\ud83c\uddf9 Serie \ud83c\udd70 - 23^ Giornata\n\ud83c\udfdf #Parma \ud83c\udd9a #Lazio 0-1\n\u26bd #Caicedo (41\u2019)\n\u27a1 https://t.co/Rf4NRiaPV2 \n#SkySport #SkySerieA\u2026 https://t.co/AwuOByUKTw""",gruppo,allenatori,insulto generico,1,0,CORR imparzialità,"Anche se possiamo avere l'impressione che non vi sia imparzialità e correttezza, si può esprimere il proprio disaccordo senza offese."
Camp100hs,"1,19074792366508E+018","""@SkySport La @SerieA = 💩💩💩💩💩💩Razzisti ed corrotto sono i stronzi di questa lega 🤢""",,organizzazione,organizzazione,insulto generico,1,0,CORR imparzialità,"Anche se possiamo avere l'impressione che non vi sia imparzialità e correttezza, si può esprimere il proprio disaccordo senza offese."
Camp100hs,"1,20267479266461E+018",@RomeluLukaku9 @ChrisSmalling @CorSport #juventini e #raccomandati da sempre. La rovina e vergogna di questo paese @juventusfc,,gruppo,squadra,insulto generico,1,0,CORR imparzialità,"Anche se possiamo avere l'impressione che non vi sia imparzialità e correttezza, si può esprimere il proprio disaccordo senza offese."
Camp100hs,"1,20761542573284E+018","@SkySport Come Kk a Torino due anni fa, ma si sa, siete i leccaculi degli Agnelli che vi reggono la baracca, o la baldracca",,gruppo,non identificabile,insulto generico,1,0,CORR imparzialità,"Anche se possiamo avere l'impressione che non vi sia imparzialità e correttezza, si può esprimere il proprio disaccordo senza offese."
Camp100hs,"1,20142467197303E+018",@Gazzetta_it Siete patetici.. una vergogna.. rigore su Duncan solare. E voi zitti e con gli occhi chiusi.,,gruppo,non identificabile,insulto generico,1,0,CORR ingiustizie squadra,"Alcune volte può sembrare che la propria squadra sia più vittima di ingiustizie delle altre, ma spesso anche i tifosi della squadra avversaria la pensano allo stesso modo."
Camp100hs,"1,22433324440717E+018","@Gazzetta_it È una vergogna, solo i nostri espulsi e squalificati per più di una giornata. Fate schifo!",,gruppo,non identificabile,insulto generico,1,0,CORR ingiustizie squadra,"Alcune volte può sembrare che la propria squadra sia più vittima di ingiustizie delle altre, ma spesso anche i tifosi della squadra avversaria la pensano allo stesso modo."
Camp100hs,"1,23133382125523E+018",@SkySport Grande rapina a Firenze.. Complimenti pezzi di merda!,,gruppo,non identificabile,insulto generico,1,0,CORR ingiustizie vittima,"Si può comprendere che alcune volte ci si senta vittime di ingiustizie, ma ci sono altri modi non offensivi per esprimere le proprie argomentazioni."
Camp100hs,"1,22952243871259E+018",@SkySport Punizione sul palo del portiere coglioni....La Pirateria uccide il calcio e voi fate il funerale coglioni,,gruppo,non identificabile,insulto generico,1,0,CORR ingiustizie vittima,"Si può comprendere che alcune volte ci si senta vittime di ingiustizie, ma ci sono altri modi non offensivi per esprimere le proprie argomentazioni."
Camp100casuali,"1,18980514560706E+018",@Gazzetta_it Ma chiurit o cess.  Venduti!!,,gruppo,non identificabile,insulto generico,1,0,CORR scorrettezze,"Alcune volte può sembrare che vengano commesse delle scorrettezze, ma ci sono altri modi non offensivi per esprimere le proprie argomentazioni. "
Camp100hs,"1,2164498671256E+018",@Gazzetta_it Roma = dilettanti e venduti,,organizzazione,squadra,insulto generico,1,0,CORR scorrettezze,"Alcune volte può sembrare che vengano commesse delle scorrettezze, ma ci sono altri modi non offensivi per esprimere le proprie argomentazioni. "
Camp100hs,"1,22534878247018E+018","@Sport_Mediaset DOVETE MANDARE A CASA QUEL GOBBO BASTARDO DI GIANNI BALZARINI, complice mafioso",,singolo,giornalismo,insulto generico,2,0,CORR scorrettezze,"Alcune volte può sembrare che vengano commesse delle scorrettezze, ma ci sono altri modi non offensivi per esprimere le proprie argomentazioni. "
Camp300HS,"1,2084620775868E+018","@SkySport Che bello avere anche noi ogni tanto una squadra che si mette a pecora!!! Grazie Thiagone, ti voglio bene!!!!’","""\ud83c\uddee\ud83c\uddf9 Serie \ud83c\udd70 \u2013 17^ Giornata\n\ud83c\udfdf #InterGenoa 4-0 \n\u26bd #Lukaku (31\u2019)\n\u26bd #Gagliardini (33\u2019)\n\u26bd #Esposito rig. (64\u2019)\n\u26bd #Lukaku\u2026 https://t.co/qUc6D6HM1r""",organizzazione,squadra,insulto generico,1,0,CORR scorrettezze,"Alcune volte può sembrare che vengano commesse delle scorrettezze, ma ci sono altri modi non offensivi per esprimere le proprie argomentazioni. "
Camp300HS,"1,19685224938699E+018",@3214Sb @nonnoenry56 @Sport_Mediaset Ma come cazzo si fa a tifare la rubentus lo sanno tutti che rubate,"""@nonnoenry56 @Sport_Mediaset Sei napoletano...e chiami ladri gli juventini...!!!...si sta ribaltando il mondo...""",organizzazione,squadra,insulto generico,1,0,CORR scorrettezze,"Alcune volte può sembrare che vengano commesse delle scorrettezze, ma ci sono altri modi non offensivi per esprimere le proprie argomentazioni. "
Camp300casuali,"1,21683798234855E+018",@frafacchinetti Frà sarà ancora più bello a Maggio scucirlo quello scudetto che puzza di Ladri....,"""Arbitraggio di Rocchi:\n- Pro Atalanta sempre \n- Ferma Lautaro lanciato a rete per un fallo che non c\u2019era\n- Da un ri\u2026 https://t.co/olBUPE2jyv""",organizzazione,squadra,insulto generico,1,0,CORR scorrettezze,"Alcune volte può sembrare che vengano commesse delle scorrettezze, ma ci sono altri modi non offensivi per esprimere le proprie argomentazioni. "
Camp300casuali,"1,2262478340869E+018",@pisto_gol Speriamo che li radiano i Ladroni di merda   andati in serie b perché LADRONI di MERDA.,"""L\u2019audio originale della intervista a Robert Anthony Boggi, ex-arbitro internazionale. \u201cSe le cose non cambiano, la\u2026 https://t.co/aS1TkUbLbD""",gruppo,allenatori,insulto generico,1,0,CORR scorrettezze,"Alcune volte può sembrare che vengano commesse delle scorrettezze, ma ci sono altri modi non offensivi per esprimere le proprie argomentazioni. "
Camp300casuali,"1,21523190582369E+018",@410maxgioia @SkySport @RobertaFazio7 E voi ladroni e finoalconfine,"""@SkySport @RobertaFazio7 Rispetto per De Rossi, voi ridicoli e cazzari""",gruppo,tifosi,insulto generico,1,0,CORR scorrettezze,"Alcune volte può sembrare che vengano commesse delle scorrettezze, ma ci sono altri modi non offensivi per esprimere le proprie argomentazioni. "
Camp300HS,"1,22432604689345E+018","""@Gazzetta_it Tutti a pecorina.... Tutti contro #Comisso #Nicchi #arbitri #giornalisti  #sky  #LegaserieA""","""Polemiche #Juventus-Fiorentina. #Nicchi duro con #Commisso: \""Sono gli arbitri a essere disgustati da certi comporta\u2026 https://t.co/lBlfcuvMlP""",gruppo,non identificabile,insulto generico,1,0,CORR scorrettezze,"Alcune volte può sembrare che vengano commesse delle scorrettezze, ma ci sono altri modi non offensivi per esprimere le proprie argomentazioni. "
Camp300HS,"1,22434697888634E+018",@SkySport Mettersi a pecorina davanti al padrone porta i suoi frutti a quanto pare.,"""Panchina d'Oro, vince Gasperini: \""La dedico a Bergamo e a tutti gli allenatori\"" https://t.co/GNDexrmUI5""",singolo,allenatori,insulto generico,1,0,CORR scorrettezze,"Alcune volte può sembrare che vengano commesse delle scorrettezze, ma ci sono altri modi non offensivi per esprimere le proprie argomentazioni. "
Camp300HS,"1,19163760186381E+018",@gadlernertweet Uno stronzo resta stronzo a prescindere dall'abbronzatura,"""Gli insulti a #LilianaSegre erano inventati. I buuu razzisti contro #MarioBalotelli li ha sentiti solo lui...\nE' l'\u2026 https://t.co/1x3ho1ft4A""",singolo,atleti,discriminazione,3,1,denigratorio,"È comprensibile che a volte ci si innervosisca per atteggiamenti e comportamenti altrui, ma utilizzando questi termini si denigra un'intera categoria di persone e questo non è accettabile."
Camp300casuali,"1,19147554732446E+018",@SkySport Che colpa hanno loro se esistono i NEGRI!!,"""\u26a0 #UltimOra\n\ud83d\udde3 #Setti: \""Non possiamo gestire 20mila persone\n\ud83c\udf99 Il nostro pubblico \u00e8 ironico, non \u00e8 razzista\""\u2026 https://t.co/aSDTcxZRue""",gruppo,tifosi,insulto categoria,1,0,denigratorio,"È comprensibile che a volte ci si innervosisca per atteggiamenti e comportamenti altrui, ma utilizzando questi termini si denigra un'intera categoria di persone e questo non è accettabile."
Camp300HS,"1,21421556921549E+018",@SkySport @acmilan @sampdoria Gli zingari a volte tornano a rubare nello stesso posto...,"""\ud83c\uddee\ud83c\uddf9 Serie \ud83c\udd70 \u2013 18^ Giornata\n\ud83c\udfdf #MilanSamp 0-0\n\u27a1 https://t.co/M2MRrG3plp\n\n#SkySerieA https://t.co/Z1RBdSEFdj""",organizzazione,squadra,insulto categoria,2,0,denigratorio,"È comprensibile che a volte ci si innervosisca per atteggiamenti e comportamenti altrui, ma utilizzando questi termini si denigra un'intera categoria di persone e questo non è accettabile."
Camp300HS,"1,18387131590998E+018",@Gazzetta_it #chalanogluout toglietevi dai coglioni tu e tutte le bestie tue connazionali!,"""#FranciaTurchia, #Calhanoglu: \""Saluto militare? Noi al 100% con la nostra nazionale\"" #Euro2020 https://t.co/278KUItVyT""",singolo,atleti,discriminazione,3,1,denigratorio,"È comprensibile che a volte ci si innervosisca per atteggiamenti e comportamenti altrui, ma utilizzando questi termini si denigra un'intera categoria di persone e questo non è accettabile."
Camp100casuali,"1,19174694901746E+018","""@matteorenzi @ItaliaViva Giustizia fatta per Balotelli. Della serie """"anche i cula ottengono giustizia""""! Buaaah ah ah ah ah""",,gruppo,personaggi,insulto categoria,1,0,denigratorio,"È comprensibile che a volte ci si innervosisca per atteggiamenti e comportamenti altrui, ma utilizzando questi termini si denigra un'intera categoria di persone e questo non è accettabile."
Camp100hs,"1,21748798656634E+018",@KPMG_Italy @juventusfc @pisto_gol Ennesima figura di merda per puffo ricchione e i suoi adepti.,,gruppo,non identificabile,insulto categoria,2,0,denigratorio,"È comprensibile che a volte ci si innervosisca per atteggiamenti e comportamenti altrui, ma utilizzando questi termini si denigra un'intera categoria di persone e questo non è accettabile."
Camp300HS,"1,20344254491653E+018",@SerVessicchio Arbitro che fa il suo dovere e voi non siete abituati a questo RICCHIONE E PISCIATURU,"""JUVENTUS VIOLENTATA E SCIPPATA DALL\u2019ARBITRO FABBRI.FISCHIETTO CORROTTO O\u00a0SCARSO?VERGOGNA https://t.co/7qwzZXLjP8 https://t.co/IBMPceZKyW""",singolo,giornalismo,insulto categoria,2,0,denigratorio,"È comprensibile che a volte ci si innervosisca per atteggiamenti e comportamenti altrui, ma utilizzando questi termini si denigra un'intera categoria di persone e questo non è accettabile."
Camp300HS,"1,23014821176507E+018","@tuttosport Si, e tua madre come si comportava? Uno dei motivi principali per l'inda starmi sul cazzo come mi sta. Un cesso di uomo.","""#Moratti: \""La mia #Inter affrontava una #Juve che si comportava come si comportava...\"" \ud83d\udce2 https://t.co/wsIOcxMk2H""",singolo,allenatori,insulto generico,1,0,OFF comport,"Anche se non si è d'accordo con le azioni e i comportamenti di alcune persone, si può esprimere il proprio disaccordo senza offendere."
Camp300HS,"1,22628055869262E+018",@tuttosport Via subito. Non serve a un cazzo.,"""\ud83d\udd34 #VeronaJuve, Douglas #Costa esce per infortunio: problema muscolare https://t.co/7l6BhaQOhk""",singolo,atleti,insulto generico,1,0,OFF comport,"Anche se non si è d'accordo con le azioni e i comportamenti di alcune persone, si può esprimere il proprio disaccordo senza offendere."
Camp100casuali,"1,20076080789584E+018",@HellasVeronaFC Ma prendete per culo i trentini razza di merde,,gruppo,tifosi,insulto generico,1,0,OFF comport,"Anche se non si è d'accordo con le azioni e i comportamenti di alcune persone, si può esprimere il proprio disaccordo senza offendere."
Camp100hs,"1,21119788096863E+018",@tuttosport Che cesso di societa!!! Via perin per lasciare posto ad un buffon(e),,organizzazione,organizzazione,insulto generico,1,0,OFF comport,"Anche se non si è d'accordo con le azioni e i comportamenti di alcune persone, si può esprimere il proprio disaccordo senza offendere."
Camp300HS,"1,19108600962845E+018","@Gazzetta_it Ti ho difeso all'inizio, ma caro Pioli di merda, se continui con rebic e leao in panchina te ne devi andare già. Merda.","""Gol! Milan - Lazio 0-1, rete di Immobile C. (LAZ) https://t.co/IGUTuzuWfY #gazzettalive #seriea https://t.co/CtPNbJubjw""",singolo,allenatori,insulto generico,1,0,OFF comport,"Anche se non si è d'accordo con le azioni e i comportamenti di alcune persone, si può esprimere il proprio disaccordo senza offendere."
Camp300HS,"1,20793736661636E+018","""@SuperflyVideo @Gazzetta_it Sarri sei un uomo di 💩..Devi solo tacere e vergognarti per stare con chi schifavi""","""#Conferenza #MaSarri Post Juventus Udinese 3-1 Lo sfortunato giornalista della @Gazzetta_it .... https://t.co/Wk5lFozxg9""",singolo,allenatori,insulto generico,1,0,OFF comport,"Anche se non si è d'accordo con le azioni e i comportamenti di alcune persone, si può esprimere il proprio disaccordo senza offendere."
Camp300HS,"1,22731878514685E+018",@CorSport Stavolta Zazzà è autorizzato o fa la merda come con Miha?,"""\ud83d\udd34 #Nela, intervista shock al #CorSport \u2b07\ufe0f https://t.co/CEWk0uQ9mk""",singolo,non identificabile,insulto generico,1,0,OFF comport,"Anche se non si è d'accordo con le azioni e i comportamenti di alcune persone, si può esprimere il proprio disaccordo senza offendere."
Camp100hs,"1,18451475328215E+018",@it_samp Sei una persona di merda . Istiga la violenza . Noi non ti vogliamo e prima o poi te ne andrai,,singolo,non identificabile,insulto generico,1,0,OFF comport,"Anche se non si è d'accordo con le azioni e i comportamenti di alcune persone, si può esprimere il proprio disaccordo senza offendere."
Camp300HS,"1,19203691418816E+018",@Sport_Mediaset Piagnone e pezzente.,"""#Conte: \""I ragazzi mi stanno dando l'anima, ma in partite come questa emergono i nostri limiti. Serve esperienza, e\u2026 https://t.co/PAbbkkvb4w""",singolo,allenatori,insulto generico,1,0,OFF comport,"Anche se non si è d'accordo con le azioni e i comportamenti di alcune persone, si può esprimere il proprio disaccordo senza offendere."
Camp300HS,"1,1844331762965E+018",@milandimundo @MarcoIaria1 @Gazzetta_it Ma nn ti vergogni un pochino ci hanno salvato dalla serie D e rompi le palle coglione,"""@MarcoIaria1 @Gazzetta_it Non sanno come sanare il debito, hanno bisogno di giornali e SKY per parlare sempre di Ronaldo e di Juventus.""",singolo,non identificabile,insulto generico,1,0,OFF comport,"Anche se non si è d'accordo con le azioni e i comportamenti di alcune persone, si può esprimere il proprio disaccordo senza offendere."
Camp100hs,"1,18743165081848E+018",@matteosalvinimi Sciacallo!!! Non togliere l’attenzione e rispondi su Savoini,,singolo,personaggi,insulto generico,1,0,OFF comport,"Anche se non si è d'accordo con le azioni e i comportamenti di alcune persone, si può esprimere il proprio disaccordo senza offendere."
Camp300HS,"1,21996845310222E+018",@matteosalvinimi Uomo coraggioso perché ti vota?!...altrimenti cosa facevi..andavi a suonare anche al suo citofono?!..ignorante!!,"""GRAZIE Sinisa Mihajlovic, grande campione, uomo coraggioso! https://t.co/7l4hWORWMl""",singolo,personaggi,insulto generico,1,0,OFF comport,"Anche se non si è d'accordo con le azioni e i comportamenti di alcune persone, si può esprimere il proprio disaccordo senza offendere."
Camp300casuali,"1,2166484773059E+018","""@RassegnaZampa MA PERCHE' VI APPASSIONATE A TUTTE LE STRONZATE ATTE A DIMOSTRARE CHE SIETE DEI POVERETTI""","""#Dakar2020 Caduta e arresto cardiaco: muore il portoghese #PauloGoncalves  https://t.co/Z2AJAkQFVU""",gruppo,non identificabile,insulto generico,1,0,OFF comport,"Anche se non si è d'accordo con le azioni e i comportamenti di alcune persone, si può esprimere il proprio disaccordo senza offendere."
Camp300HS,"1,18474655397573E+018",@it_samp Perché sei un coglione sai di essere contestato e porti il figlio???cisa credevi??devi vendere pianta puffi!!,"""#Ferrero: \u201ci tifosi devono rivolgersi a me e non a #Garrone. A Montecarlo mi hanno massacrato davanti a mio figlio\u201d\nhttps://t.co/U784Ohl3SW""",singolo,allenatori,insulto generico,1,0,OFF comport,"Anche se non si è d'accordo con le azioni e i comportamenti di alcune persone, si può esprimere il proprio disaccordo senza offendere."
Camp300HS,"1,20255655146414E+018",@capuanogio Razzista e anche infame per come si è comportato con Sinisa...,"""Discutete quello che volete (io non avrei titolato cos\u00ec un mio pezzo, ad esempio) ma dire che #Zazzaroni e il\u2026 https://t.co/ljo5StlBfJ""",singolo,giornalismo,insulto generico,1,0,OFF comport,"Anche se non si è d'accordo con le azioni e i comportamenti di alcune persone, si può esprimere il proprio disaccordo senza offendere."
Camp300HS,"1,19825907854127E+018",@SkySport  adesso i due beduini #Bergomi e #Caressa fanno gli ortopedici a distanza !! Ma quanto sono deficienti da 1 a 10 ??,NOT FOUND,singolo,giornalismo,insulto categoria,1,0,OFF comport,"Anche se non si è d'accordo con le azioni e i comportamenti di alcune persone, si può esprimere il proprio disaccordo senza offendere."
Camp300HS,"1,20267945818186E+018",@CorSport Il fallimento è vicino. Ma come cazzo fate a dare un incarico del genere a un coglionAzzo del genere? Ciaone,"""\""L'elogio della differenza\"" | di Ivan #Zazzaroni https://t.co/BXszy9fjmM""",singolo,non identificabile,insulto generico,1,0,OFF comport,"Anche se non si è d'accordo con le azioni e i comportamenti di alcune persone, si può esprimere il proprio disaccordo senza offendere."
Camp300HS,"1,22715365545288E+018","""@AAlciato In effetti la merda si offende.Domenica scorsa a napoli un bambino fa una cosa oscena e tutti zitti. No però  sky è filo juve""",NOT FOUND,singolo,non identificabile,insulto generico,1,0,OFF comport,"Anche se non si è d'accordo con le azioni e i comportamenti di alcune persone, si può esprimere il proprio disaccordo senza offendere."
Camp300HS,"1,18564036911718E+018",@gilardisil @CarlaLeoni2 @mdlet72 Ma metti Dybalaaaaaaaa fesso!!!,"""@OrizOrizzonte @CarlaLeoni2 @mdlet72 \ud83e\udd14""",singolo,non identificabile,insulto generico,1,0,OFF comport,"Anche se non si è d'accordo con le azioni e i comportamenti di alcune persone, si può esprimere il proprio disaccordo senza offendere."
Camp300HS,"1,19137778407929E+018","@Corriere Ma perchè date risalto a quello che ha detto sto coglione di Castellini, è quello che vogliono","""\ud83d\udd34 SuperMario risponde cos\u00ec al capo ultr\u00e0 del Verona che lo aveva definito \u00abmai del tutto italiano\u00bb https://t.co/bNl2LPeftO""",singolo,tifosi,insulto generico,1,0,OFF comport,"Anche se non si è d'accordo con le azioni e i comportamenti di alcune persone, si può esprimere il proprio disaccordo senza offendere."
Camp100hs,"1,19103829425721E+018","Coglioni i fascisti della curva di Verona. Immaturo l'arbitro che non sospende la partita. Indecente la FIGC che non ha il coraggio di prende provvedimenti contro i fascisti. Un paese bigotto l'Italia intera. #veronabrescia #balotelli""",,gruppo,tifosi,insulto generico,2,0,OFF comport,"Anche se non si è d'accordo con le azioni e i comportamenti di alcune persone, si può esprimere il proprio disaccordo senza offendere."
Camp300HS,"1,22548850009673E+018",@tuttosport Siete i migliori a prendere per il culo quei poveri pecoroni. 😂😂😂🔝,"""#Messi alla #Juve con #Ronaldo, il sogno dei tifosi sui social \u2b07\ufe0f https://t.co/FCYukpbkiZ""",gruppo,tifosi,insulto generico,1,0,OFF comport gruppo,"Anche se non si è d'accordo con le azioni e i comportamenti di alcune persone, si può esprimere il proprio disaccordo senza offendere un intero gruppo di persone."
